record_id,record_group,source_document,source_table,source_page,mix_id,mix_proportion_reported,fa_percent_numeric,ggbs_percent_numeric,sf_percent_numeric,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,fly_ash_kg_m3,ggbs_kg_m3,sf_kg_m3,naoh_kg_m3,na2sio3_kg_m3,naoh_molarity_M,superplasticizer_percent,reported_al_ratio,aas_b_ratio,curing_regime,curing_temperature_C,curing_duration_hours,mechanical_test_age_days,acid_type,acid_concentration_percent,acid_exposure_days,slump_mm,workability_class,compressive_strength_mpa,split_tensile_strength_mpa,flexural_strength_mpa,upv_m_s,upv_quality_reported,rebound_estimated_strength_mpa,initial_mass_kg,exposed_mass_kg,mass_change_percent_derived,initial_compressive_strength_mpa,residual_compressive_strength_mpa,strength_loss_percent_derived,data_status,notes
GPC-0051,OVEN_100C_24H_MECHANICAL,Journal Paper.pdf,Table 9,6,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Not stated in Table 9,,Dry oven,100,24,,,,,,,40.69,2.04,2.75,,,,,,,,,,SOURCE_REPORTED,Mechanical properties reported after 24 hours of dry-oven curing at 100 °C.
GPC-0052,OVEN_100C_24H_MECHANICAL,Journal Paper.pdf,Table 9,6,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Not stated in Table 9,,Dry oven,100,24,,,,,,,49.5,2.63,3.33,,,,,,,,,,SOURCE_REPORTED,Mechanical properties reported after 24 hours of dry-oven curing at 100 °C.
GPC-0053,OVEN_100C_24H_MECHANICAL,Journal Paper.pdf,Table 9,6,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Not stated in Table 9,,Dry oven,100,24,,,,,,,43.44,3.16,4.3,,,,,,,,,,SOURCE_REPORTED,Mechanical properties reported after 24 hours of dry-oven curing at 100 °C.
GPC-0054,OVEN_100C_24H_MECHANICAL,Journal Paper.pdf,Table 9,6,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Not stated in Table 9,,Dry oven,100,24,,,,,,,32.09,1.86,2.0,,,,,,,,,,SOURCE_REPORTED,Mechanical properties reported after 24 hours of dry-oven curing at 100 °C.
GPC-0055,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,3886,Good,32.6,,,,,,,SOURCE_REPORTED,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank.
GPC-0056,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,4065,Good,47.94,,,,,,,SOURCE_REPORTED,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank.
GPC-0057,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,6429,Excellent,42.33,,,,,,,SOURCE_REPORTED,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank.
GPC-0058,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,3049,Good,17.0,,,,,,,SOURCE_REPORTED,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank.
GPC-0059,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M5,40:50:10,40,50,10,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,3409,Good,17.11,,,,,,,SOURCE_REPORTED,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank.
GPC-0060,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M6,50:50:10,50,40,10,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,2903,Poor,17.12,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0061,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M7,60:40:10,60,30,10,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,2985,Poor,17.0,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0062,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M8,70:30:10,70,20,10,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,3415,Satisfactory,18.0,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0063,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M9,80:20:10,80,10,10,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,2825,Poor,8.65,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0064,NON_DESTRUCTIVE_TESTS,Journal Paper.pdf,Tables 13 and 14,8,M10,90:10:10,90,0,10,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10,2,Not stated for UPV; Table 14 reports AAS:B=0.4,0.4,Ambient (reported context),,,,,,,,,,,,1520,Poor,4.5,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,UPV quality labels are preserved exactly as reported. The test age is not stated in Tables 13-14 and is left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0065,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,H2SO4,5,28,,,,,,,,,7.81,7.96,1.9206,43.56,36.32,16.6208,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
GPC-0066,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,HCl,5,28,,,,,,,,,7.81,7.79,-0.2561,43.56,36.32,16.6208,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
GPC-0067,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,H2SO4,5,28,,,,,,,,,7.7,7.86,2.0779,53.57,39.5,26.2647,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
GPC-0068,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,HCl,5,28,,,,,,,,,7.7,7.81,1.4286,53.57,41.82,21.9339,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
GPC-0069,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,H2SO4,5,28,,,,,,,,,7.65,7.72,0.915,47.3,44.71,5.4757,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
GPC-0070,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,HCl,5,28,,,,,,,,,7.65,7.67,0.2614,47.3,45.73,3.3192,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
GPC-0071,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,H2SO4,5,28,,,,,,,,,7.18,7.6,5.8496,34.32,24.32,29.1375,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
GPC-0072,ACID_DURABILITY_28D,Journal Paper.pdf,Table 15,9,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Not stated in Table 15,,Ambient before acid exposure,,,28,HCl,5,28,,,,,,,,,7.18,7.51,4.5961,34.32,30.5,11.1305,SOURCE_REPORTED_WITH_DERIVED_PERCENTAGES,Initial and exposed mass and strength are source-reported. Mass-change and strength-loss percentages are calculated from those source values.
